Company Name,PDF Link
Kotak Mahindra Bank Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=231d48a0-905d-4979-bee1-f855c401d4e8.pdf
SKF India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6344532-3129-4975-92ac-efdaad4cb14c.pdf
UTI Asset Management Company Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c994cfc0-70c6-42b1-b4e8-ff5e3d0a0c90.pdf
JSW Holdings Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa5bffad-a094-49e5-a6ff-33b5301ead0d.pdf
HEG Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d76966cf-453b-4538-955b-1eacdf758a4b.pdf
Eveready Industries India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bb07cf09-d168-4b29-a155-901a61fd95fd.pdf
Sundaram-Clayton Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=78194a77-e783-41b0-a955-c2200a1f9ca6.pdf
Macrotech Developers Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=352bfbc9-853a-4417-a503-f6b24b5331b8.pdf
Satin Creditcare Network Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5b835484-1e0e-4b35-b0f0-a99209531e64.pdf
KPIT Technologies Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8807df4f-2ff1-489a-93f9-d214b988e969.pdf
Torrent Power Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ea68d8b-59ad-4ab2-b16a-96a4463d5de0.pdf
Ugro Capital Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0194e978-0c5d-4310-9cee-4a2674ba68ee.pdf
Centum Electronics Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d99d31aa-791e-41ef-91e3-9f0c628b4574.pdf
Cosmo First Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10bda087-c8b7-45a5-8ab6-9465adb127e8.pdf
Prataap Snacks Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=989a7a54-5125-4123-9cf2-b2d3a3f6f81f.pdf
NOCIL Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=95c4828f-63a1-44e7-b23a-fa9c2e21c1cd.pdf
Ipca Laboratories Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dd9f645e-4750-4110-bb36-d11d158b443f.pdf
Hester Biosciences Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4f33fd53-b576-4aaa-a8de-97eb4fb10038.pdf
Birlasoft Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ac94259b-fceb-484b-b5ca-70550e60dcb6.pdf
Strides Pharma Science Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa19a3da-8bed-4d61-ba82-56e54a144c84.pdf
Pidilite Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=138f69e2-b60e-4a6e-8e85-41580a74c437.pdf
Kirloskar Ferrous Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a13ee9bb-3c51-4a36-8a74-75cd231bf687.pdf
TD Power Systems Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a94941cc-feaa-4039-84f3-daada50fc6fe.pdf
Samhi Hotels Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ddcc3d1-cf45-4bc7-8666-c32ac6067bc9.pdf
Igarashi Motors India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90ef8449-8956-441e-8d4f-d14b67ee360a.pdf
Orient Cement Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc4a619e-df14-43fe-84cb-bef7e0251375.pdf
JB Chemicals & Pharmaceuticals Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93a29e1b-77f5-46e9-a0cc-d6344a27bde0.pdf
Kirloskar Oil Engines Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4df2ccdc-b815-4951-bd81-9dd404746b39.pdf
Centrum Capital Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=684e8bf8-87aa-40da-b0d8-b838597a07c0.pdf
Marico Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cb5d4a6c-01b4-492e-9d2d-fc356697eff5.pdf
Blue Star Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b5e6c6a8-af45-47fb-8a3c-c11ca4d2c607.pdf
Shree Cement Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=134d2879-cbd7-4734-86a7-65af2eb1eff6.pdf
Vaibhav Global Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10bacc5d-c9b8-4ef3-9fb0-acff356d73db.pdf
EIH Associated Hotels Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=026fcf0f-05a1-4fba-b5fa-fe75ec5467dc.pdf
Hawkins Cookers Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5916de27-9a17-47e0-8988-4c376e52c5b7.pdf
Hero MotoCorp Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b011512a-39ad-4975-a47b-55091cddac32.pdf
Siyaram Silk Mills Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9ce0695-0ea1-42f9-be45-3fd5014a6f2b.pdf
VRL Logistics Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=952f0eb3-bdfe-4140-99ea-b46e0a2a0382.pdf
V-Guard Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=264fe5f0-f7ed-4928-b5b2-a87de5152c21.pdf
Bajaj Auto Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c32b00e-2e5b-4d65-b318-5f9f2492dcbd.pdf
EIH Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=032c3aa3-abd3-431a-b867-eb28fca04f2c.pdf
DLF Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2611347f-a345-4b8b-a65c-eb6116261e62.pdf
Raymond Lifestyle Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=468109e7-7647-4562-8b6d-af870e1162f0.pdf
Raymond Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=08b6973a-2e2d-47e8-aba0-5905c74f4b3d.pdf
HDFC Bank Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=de066255-8ad1-4a3f-89da-3318a4d8dcb7.pdf
Sharda Cropchem Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d86c77d3-09b9-413d-bc86-f0984f09e1e9.pdf
Jtekt India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d217ec4-d0e6-413a-b54e-01c3f607b8ea.pdf
BASF India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e917cec-995e-4887-b325-a7ac3ccad86c.pdf
UNO Minda Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=410dc27f-b318-4b49-b724-02088bb142e7.pdf
Fortis Healthcare Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86d392d2-816c-426f-8278-219405d97f5c.pdf
Punjab & Sind Bank,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=34cfdbda-e097-491f-971b-bca390506407.pdf
Pricol Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=02764aff-2308-445a-b28e-6ccedb34fe0a.pdf
Ugar Sugar Works Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5fcb29fa-a14a-4f08-9090-e0d3be7431c7.pdf
MRF Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be898ab1-410a-46b7-bfc9-6e5aafebde2f.pdf
Alldigi Tech Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0a202313-7e75-4812-b9d1-9456064d5487.pdf
