company_name,industry,status,data_points,output_file,csv_row,error
BHARAT PETROLEUM CORPORATION LTD.,,success,98.0,esg_outputs\BHARAT_PETROLEUM_CORPORATION_LTD__esg.json,1654,
Delhivery Ltd,,success,98.0,esg_outputs\Delhivery_Ltd_esg.json,1655,
CENTURY ENKA LTD.,,success,98.0,esg_outputs\CENTURY_ENKA_LTD__esg.json,1656,
GUJARAT AMBUJA EXPORTS LTD.,,success,98.0,esg_outputs\GUJARAT_AMBUJA_EXPORTS_LTD__esg.json,1657,
Jubilant Pharmova Ltd,,success,98.0,esg_outputs\Jubilant_Pharmova_Ltd_esg.json,1658,
Jubilant Ingrevia Ltd,,success,98.0,esg_outputs\Jubilant_Ingrevia_Ltd_esg.json,1659,
D B Corp Ltd,,success,98.0,esg_outputs\D_B_Corp_Ltd_esg.json,1660,
THOMAS COOK (INDIA) LTD.,,success,98.0,esg_outputs\THOMAS_COOK__INDIA__LTD__esg.json,1661,
Narayana Hrudayalaya Ltd,,success,98.0,esg_outputs\Narayana_Hrudayalaya_Ltd_esg.json,1662,
GANESH HOUSING CORPORATION LTD.-,,success,98.0,esg_outputs\GANESH_HOUSING_CORPORATION_LTD_-_esg.json,1663,
SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,,success,98.0,esg_outputs\SCHNEIDER_ELECTRIC_INFRASTRUCTURE_LTD__esg.json,1664,
DMCC Speciality Chemicals Ltd,,success,98.0,esg_outputs\DMCC_Speciality_Chemicals_Ltd_esg.json,1665,
Clean Science and Technology Ltd,,success,98.0,esg_outputs\Clean_Science_and_Technology_Ltd_esg.json,1666,
ALOK INDUSTRIES LTD.,,success,98.0,esg_outputs\ALOK_INDUSTRIES_LTD__esg.json,1667,
Bhageria Industries Ltd,,success,98.0,esg_outputs\Bhageria_Industries_Ltd_esg.json,1668,
FEDERAL BANK LTD.,,success,98.0,esg_outputs\FEDERAL_BANK_LTD__esg.json,1669,
PETRONET LNG LTD.,,success,98.0,esg_outputs\PETRONET_LNG_LTD__esg.json,1670,
I G PETROCHEMICALS LTD.,,success,98.0,esg_outputs\I_G_PETROCHEMICALS_LTD__esg.json,1671,
Jaiprakash Power Ventures Limited,,success,98.0,esg_outputs\Jaiprakash_Power_Ventures_Limited_esg.json,1672,
